Edad;Analfabetos_hombres;Primarios_hombres;Secundarios_hombres;Superiores_hombres;No aplicable_hombres;Analfabetos_mujeres;Primarios_mujeres;Secundarios_mujeres;Superiores_mujeres;No aplicable;Analfabetos_hombres;Primarios_hombres;Secundarios_hombres;Superiores_hombres;No_aplicable_hombres;Analfabetos_mujeres;Primarios_mujeres;Secundarios_mujeres;Superiores_mujeres;No_aplicable_mujeres
0-4;0;0;0;0;-1281145;0;0;0;0;1199375;0;0;0;0;-2,750736345;0;0;0;0;2,575168622
5-9;0;0;0;0;-1227430;0;0;0;0;1160585;0;0;0;0;-2,635405292;0;0;0;0;2,491882918
10-14;0;0;0;0;-1131195;0;0;0;0;1067470;0;0;0;0;-2,428779881;0;0;0;0;2,291956435
15-19;-5125;-168710;-738900;0;-220240;4460;118300;741850;0;203535;-0,011003847;-0,362235913;-1,586486374;0;-0,47287557;0,009576031;0,254000999;1,592820296;0;0,437008396
20-24;-6680;-201875;-929375;-140400;0;6250;119990;846385;264725;0;-0,014342575;-0,433444223;-1,995453747;-0,301451735;0;0,013419326;0,257629585;1,817266571;0,568388964;0
25-29;-9995;-190880;-999895;-353410;0;9500;122260;840885;551760;0;-0,021460186;-0,409836946;-2,146866684;-0,758803829;0;0,020397375;0,262503484;1,805457565;1,184679553;0
30-34;-13260;-188045;-1290735;-499540;0;13030;123205;1053180;705020;0;-0,028470442;-0,403749939;-2,771326959;-1,072558402;0;0,02797661;0,264532486;2,261274488;1,513742893;0
35-39;-15365;-212630;-1348920;-527905;0;14755;153120;1117285;695465;0;-0,032990071;-0,456536199;-2,896255514;-1,13346067;0;0,031680344;0,328762747;2,398913829;1,493227427;0
40-44;-17010;-238665;-1270060;-432800;0;15170;190860;1144580;523995;0;-0,036522037;-0,512435743;-2,726935829;-0,929261473;0;0,032571388;0,409794004;2,457518709;1,12506554;0
45-49;-16415;-277400;-1167665;-354020;0;16410;246020;1110735;412785;0;-0,035244517;-0,595603357;-2,50708433;-0,760113555;0;0,035233782;0,528227606;2,384850376;0,886287424;0
50-54;-15670;-286520;-994120;-304310;0;16325;301645;973835;322980;0;-0,033644934;-0,615184837;-2,134467227;-0,653381606;0;0,035051279;0,647659605;2,090913463;0,693467816;0
55-59;-14000;-309045;-768400;-240065;0;19585;368800;760455;221115;0;-0,03005929;-0,663548087;-1,649825592;-0,515441672;0;0,042050799;0,791847577;1,632766945;0,474754276;0
60-64;-15280;-372915;-607795;-194225;0;28480;489225;603230;144270;0;-0,032807568;-0,800682861;-1,30499186;-0,417018969;0;0,061149184;1,050411147;1,295190385;0,309760981;0
65-69;-16955;-423685;-442980;-146475;0;42340;569065;430930;93750;0;-0,036403947;-0,909690729;-0,951118871;-0,31449532;0;0,090907881;1,221834982;0,925246411;0,201289887;0
70-74;-21705;-414880;-258960;-88405;0;65260;553675;257225;49810;0;-0,046602635;-0,890785582;-0,556010978;-0,18981368;0;0,140119232;1,188791234;0,552285773;0,106946659;0
75-79;-30525;-470785;-193010;-66770;0;96575;674230;211300;41765;0;-0,065539987;-1,010818768;-0,414410252;-0,143361341;0;0,207355422;1,447633926;0,453680567;0,089673303;0
80-84;-25070;-336640;-105935;-38585;0;77155;538025;128660;26060;0;-0,0538276;-0,722797094;-0,227452205;-0,08284555;0;0,165658893;1,155189243;0,276244873;0,055953221;0
85-89;-11045;-167035;-48560;-17845;0;42860;321925;69140;14335;0;-0,023714633;-0,358639534;-0,104262794;-0,038314859;0;0,092024369;0,691202634;0,14844995;0,030778566;0
90-94;-3235;-48250;-15665;-5330;0;17475;117835;25995;5710;0;-0,006945843;-0,103597195;-0,033634198;-0,011444001;0;0,037520435;0,253002601;0,05581366;0,012259896;0
95-99;-955;-8830;-3605;-1675;0;5240;28410;6925;2155;0;-0,002050473;-0,018958823;-0,007740267;-0,003596379;0;0,011250763;0,060998887;0,014868613;0,004626984;0
100 y más;-40;-795;-275;-95;0;625;3895;645;100;0;-8,58837E-05;-0,001706938;-0,00059045;-0,000203974;0;0,001341933;0,008362924;0,001384874;0,000214709;0
